repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.9079406535722012,0.8329212292476157,0.9829600778967867,0.9697770751352479,0.8056599388224325
0,valid,0.8207125762934151,0.7520891364902507,0.8893360160965795,0.8207125762934151,0.6308586685885039
0,test,0.8326839009429643,0.8036253776435045,0.8617424242424242,0.8326839009429644,0.640306057768034
1,train,0.9335590839724337,0.8957902001380262,0.971327967806841,0.9797365976396682,0.8551113674315217
1,valid,0.824170559348425,0.8360881542699724,0.8122529644268774,0.824170559348425,0.6442295536480335
1,test,0.7996229260935144,0.7941176470588235,0.8051282051282052,0.7996229260935144,0.5887332377614601
2,train,0.938171164832944,0.8973738769868694,0.9789684526790186,0.9792166653574004,0.86418793223393
2,valid,0.8178108616768138,0.8142664872139973,0.8213552361396304,0.8178108616768138,0.6266332478285752
2,test,0.743182134732346,0.7535911602209945,0.7327731092436974,0.743182134732346,0.4794062917725586
3,train,0.9423353585143578,0.8993150684931507,0.9853556485355649,0.984852159397031,0.8694360124309292
3,valid,0.8300878375895127,0.810918774966711,0.8492569002123143,0.8300878375895127,0.6467491114535725
3,test,0.8014296884278871,0.7623421354764638,0.8405172413793104,0.801429688427887,0.5991233908618058
4,train,0.9404097989026932,0.895868897234551,0.9849507005708354,0.9837598284818192,0.8655888201780935
4,valid,0.8001651150827235,0.7638522427440633,0.8364779874213837,0.8001651150827235,0.5857838600925911
4,test,0.777037037037037,0.7333333333333333,0.8207407407407408,0.7770370370370372,0.5503621995782756
