train_true,train_probe
0,0.48155698
0,0.47369266
0,0.49093142
0,0.47409862
0,0.4737924
0,0.5030573
1,0.49648884
1,0.51155764
1,0.47888425
1,0.50042963
0,0.4717773
1,0.5102863
1,0.4497375
1,0.48482847
1,0.5098364
1,0.4854332
0,0.46662843
1,0.49944213
1,0.4868632
1,0.4775686
0,0.5001845
0,0.4741258
0,0.5079249
0,0.4920843
1,0.47901553
1,0.48257995
1,0.48433185
1,0.50465274
0,0.48484507
0,0.5122345
1,0.4956427
1,0.44595167
1,0.5140888
1,0.46650735
1,0.5130316
1,0.47606754
1,0.51257193
1,0.46222147
1,0.50197333
1,0.46787596
0,0.49076307
1,0.5067632
1,0.48246732
0,0.48525494
0,0.5120178
0,0.47945216
0,0.5030205
1,0.49443442
1,0.5043381
1,0.49201673
1,0.5079577
1,0.46295026
1,0.5040792
1,0.4772586
0,0.47570282
0,0.5110337
0,0.47740266
0,0.48517343
1,0.5094371
1,0.4885231
1,0.4999619
1,0.49531165
1,0.44873753
1,0.52076846
1,0.4575946
1,0.5021312
1,0.47813082
1,0.47231343
1,0.49951708
1,0.4882577
1,0.5165006
1,0.47469103
0,0.50348485
0,0.47933358
0,0.50729257
0,0.48663646
1,0.4958798
1,0.48374856
1,0.4755128
1,0.50727844
1,0.45725423
0,0.48914182
1,0.4974473
1,0.47723642
1,0.51161194
1,0.4923597
1,0.5127866
0,0.48693666
0,0.47289735
0,0.51454943
1,0.49283966
1,0.47860378
1,0.48985243
0,0.4788486
1,0.49568897
1,0.4672578
0,0.4836207
0,0.4894762
0,0.48780695
0,0.4974128
1,0.46635023
1,0.52419025
1,0.45856115
1,0.49498805
1,0.47158444
1,0.50414366
0,0.48190627
0,0.5097748
0,0.47317153
0,0.48121846
1,0.4765007
1,0.50017536
1,0.46070132
0,0.51202184
0,0.4733394
0,0.5012963
0,0.45031062
0,0.48728934
0,0.48960078
0,0.49551177
1,0.48356634
0,0.4599327
0,0.5136287
0,0.4798406
0,0.46939412
0,0.5047381
0,0.504703
1,0.4970776
1,0.48201138
0,0.48411548
1,0.4991175
1,0.48554137
1,0.5082553
1,0.46863744
1,0.50851953
0,0.45364934
0,0.52867264
0,0.46153256
0,0.50495154
1,0.4785998
1,0.5024024
1,0.46955365
0,0.50116986
1,0.46872142
1,0.49283364
1,0.46495074
0,0.4972547
0,0.48969966
0,0.49507418
1,0.45191145
1,0.5023172
1,0.47497836
0,0.4694208
0,0.49857962
0,0.44813824
0,0.4890695
1,0.49454337
1,0.5014003
1,0.46241206
0,0.46873587
0,0.50219584
0,0.49225062
0,0.4791888
1,0.48887375
1,0.46470124
1,0.51355445
1,0.4645571
1,0.4918346
1,0.48913372
1,0.52188396
0,0.48722488
1,0.4904913
1,0.4840108
0,0.45410228
0,0.4949648
0,0.46784225
0,0.5044039
1,0.45841497
1,0.5145831
1,0.46154982
0,0.4516798
1,0.5037139
1,0.46100634
1,0.47309428
0,0.5110023
0,0.4777531
0,0.50199753
0,0.45253965
0,0.49868858
0,0.47672102
0,0.4992113
0,0.5010608
0,0.5041637
0,0.47603092
0,0.48550826
0,0.46585992
0,0.5058472
0,0.46432948
0,0.478086
0,0.48397583
0,0.51185536
0,0.4998306
0,0.4773054
0,0.5256152
1,0.48109564
0,0.50814515
0,0.47017804
0,0.50101537
1,0.47705317
0,0.5026908
0,0.4703172
0,0.5167608
1,0.48484164
1,0.51007885
1,0.47264513
1,0.4645287
1,0.49936756
1,0.4679695
1,0.5089655
1,0.47428218
0,0.52740914
0,0.47063765
0,0.49539682
0,0.4929504
0,0.48924017
0,0.49257138
1,0.45582795
1,0.52102244
1,0.4614416
1,0.48851952
1,0.49767968
1,0.47919306
1,0.4716767
1,0.5077061
1,0.48134547
1,0.47226483
1,0.5197019
1,0.47607428
1,0.48939043
0,0.47428453
0,0.46296918
0,0.49922135
0,0.4870527
0,0.51965165
