train_true,train_probe
0,0.0007417798
0,0.0002172422
0,0.00011647312
0,0.0006694056
0,0.00026099017
0,9.1963986e-05
0,0.00035577035
0,0.6945672
1,0.90043044
1,0.9147959
1,0.9064235
1,0.12758493
1,0.07527577
1,0.88800544
1,0.9890562
1,0.99182713
1,0.9964294
0,0.12320284
1,0.7171544
1,0.7223202
1,0.5611029
1,0.97227097
1,0.9765612
1,0.9356127
0,0.6296177
0,0.6041898
0,0.4269427
0,0.105909355
1,0.35060343
1,0.38959944
1,0.5602073
0,0.11654921
0,0.6674241
0,0.090225615
0,0.35218173
1,0.9850499
1,0.9880432
1,0.9944219
1,0.046819158
0,0.025524536
0,0.017703772
0,0.079735845
1,0.25607267
1,0.61000514
1,0.62770534
1,0.9091121
1,0.59344304
1,0.53208834
1,0.9945397
1,0.9956468
1,0.9988605
0,4.87906e-05
0,1.7048178e-05
0,0.000106534055
0,0.053994283
0,0.011342635
0,0.0039707157
0,0.00256683
0,0.0025884237
0,0.0012373333
0,0.0006763622
0,0.0012478235
1,0.27148482
0,0.056923874
1,0.6779987
1,0.22038144
0,0.10562021
0,0.025925873
0,0.0035149222
1,0.8106026
1,0.75848806
1,0.7833322
0,0.73492247
1,0.9293729
1,0.9445128
1,0.74399626
1,0.98548836
1,0.98845685
1,0.9815398
0,0.007853035
0,0.0010163535
0,0.0004794286
0,0.0023783273
0,0.013270491
0,0.0014839435
0,0.0015493644
1,0.5464074
1,0.9400295
1,0.9435151
0,0.65252006
1,0.98533
1,0.9891844
1,0.993922
1,0.96986896
1,0.97663873
1,0.94068235
1,0.95485824
1,0.9656813
0,0.8114133
0,0.040523175
1,0.41733795
1,0.37657586
1,0.8812678
0,0.021583052
0,0.004824103
1,0.9722458
1,0.1482157
1,0.08700502
1,0.7551802
1,0.91106933
1,0.91715163
1,0.9774201
1,0.9818079
1,0.987827
1,0.9551232
1,0.9642121
1,0.9226737
1,0.91809434
1,0.9351398
1,0.90818816
0,0.009879725
0,0.002364335
1,0.0014041535
0,0.00085023907
1,0.75716203
1,0.95174605
1,0.95912117
1,0.87729025
1,0.97350425
1,0.9799903
1,0.9858694
1,0.8357123
1,0.59681934
1,0.5349585
1,0.9845138
1,0.04710004
1,0.019227438
0,0.06930522
0,0.33652413
1,0.2990846
0,0.02790139
0,0.85370314
1,0.95906216
1,0.96744955
1,0.9643822
1,0.88262737
1,0.109050184
1,0.06098403
0,0.8463221
1,0.987728
1,0.9904502
1,0.9959728
1,0.70953923
1,0.9477243
1,0.9568856
1,0.9687054
1,0.57924956
1,0.95465904
1,0.95782214
1,0.97368425
0,0.08460482
0,0.040612634
0,0.0056307376
1,0.7627498
1,0.9714451
1,0.9785492
1,0.98784196
1,0.8825335
0,0.12356208
0,0.06558619
0,0.010225932
1,0.88716716
1,0.9821358
1,0.98720354
1,0.99308187
0,0.29480216
0,0.15505217
1,0.7962664
1,0.8734575
1,0.90799373
0,0.42773303
1,0.9615441
1,0.9664777
1,0.8125509
1,0.42473263
1,0.34973887
0,0.101781
0,0.013062723
0,0.09651093
0,0.07955849
0,0.010854718
1,0.9473396
1,0.9587855
1,0.9320486
1,0.7497597
1,0.98310626
1,0.98788935
1,0.99452597
1,0.0004742242
0,0.00019007176
0,0.0006579486
0,0.008239414
1,0.02244483
1,0.017710142
1,0.26487607
0,0.15415646
0,0.08183257
0,0.028962545
0,0.003771264
0,0.0017651174
0,0.0008751928
1,0.9061118
0,0.01844941
0,0.006996371
0,0.0017244681
1,0.9333666
1,0.9475215
1,0.9484813
0,0.22034352
1,0.9779808
1,0.98321265
1,0.99424213
1,0.8538613
1,0.87412494
1,0.8508204
0,0.016779471
0,0.064172365
0,0.05870561
0,0.80911905
0,0.28088057
1,0.9697769
1,0.07927277
1,0.04332961
0,0.17917618
0,0.7344131
0,0.730887
0,0.109830365
1,0.7434956
1,0.95948887
1,0.9627181
0,0.26289245
0,0.0065689464
0,0.002172026
0,0.0007882719
1,0.72662246
1,0.90241927
1,0.91334015
1,0.622916
1,0.95165265
1,0.9536759
0,0.69527185
1,0.848765
1,0.94329345
1,0.9572439
1,0.98313004
1,0.98598874
1,0.9932679
