repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.8305892784607198,0.7283645354998234,0.9328140214216164,0.9155016944477214,0.6560024013475497
0,valid,0.7916958575968345,0.7061281337047354,0.8772635814889336,0.7916958575968345,0.5748762483607687
0,test,0.7967906023986084,0.743202416918429,0.8503787878787878,0.7967906023986084,0.566727606593323
1,train,0.8556046423468346,0.7836438923395446,0.9275653923541247,0.9224078077852901,0.6988112017378577
1,valid,0.8214456821176188,0.7713498622589532,0.8715415019762845,0.8214456821176188,0.6326256646773022
1,test,0.7831908831908831,0.7407407407407407,0.8256410256410256,0.7831908831908831,0.5527611711971463
2,train,0.8696920640117052,0.7864547339322737,0.9529293940911367,0.9288920422790371,0.7271898752881844
2,valid,0.8057931522409014,0.7388963660834454,0.8726899383983573,0.8057931522409013,0.5982059237926467
2,test,0.7115464970518595,0.5911602209944752,0.8319327731092437,0.7115464970518594,0.41891285743570356
3,train,0.8810103456181579,0.8273972602739726,0.9346234309623431,0.9326026680804723,0.7462550043801863
3,valid,0.7982746288741692,0.7536617842876165,0.8428874734607219,0.7982746288741692,0.5813333688687489
3,test,0.7766307718700924,0.6624569460390356,0.8908045977011494,0.7766307718700926,0.5575893793928889
4,train,0.836169911570904,0.7558893820416525,0.9164504411001557,0.9141861629929433,0.6580277208868941
4,valid,0.7837656195549361,0.6807387862796834,0.8867924528301887,0.7837656195549361,0.5542877921356445
4,test,0.7605847953216374,0.6456140350877193,0.8755555555555555,0.7605847953216374,0.5250693816093684
