train_true,train_probe
1,0.8966546
1,0.83860576
1,0.8633562
0,0.27503026
0,0.12502271
1,0.48376995
1,0.5375025
1,0.8865887
0,0.11150062
1,0.6347418
1,0.756254
1,0.9314014
0,0.24604739
0,0.11316171
0,0.03383336
1,0.85564697
1,0.88020426
1,0.8989705
0,0.0078053763
0,0.017016659
0,0.014794753
1,0.9725299
1,0.9270397
1,0.8663363
1,0.9122429
1,0.8861562
1,0.8902158
1,0.92852294
1,0.84696215
0,0.02567732
1,0.8345912
1,0.88044566
1,0.89511436
1,0.863232
1,0.88253385
1,0.9112357
1,0.76067704
1,0.77163994
1,0.8981143
1,0.903763
1,0.8523846
1,0.6266547
1,0.5921785
1,0.8908854
1,0.71835184
1,0.7236953
1,0.895924
1,0.9292352
1,0.8904671
1,0.915101
1,0.9336743
1,0.92487216
1,0.6675533
1,0.5315914
0,0.15449211
1,0.9260329
1,0.91956794
1,0.98280036
0,0.08443877
1,0.9018198
1,0.88334984
1,0.95537084
0,0.02518946
0,0.0024173455
0,0.0021658784
0,0.0037582675
1,0.7985809
1,0.8257177
1,0.91387933
0,0.023457894
1,0.8715807
1,0.87274796
1,0.9190832
1,0.8759273
1,0.8863653
1,0.93209314
1,0.97729254
0,0.07014852
1,0.68118453
1,0.791386
0,0.023836084
0,0.011711865
0,0.013842762
0,0.013757704
1,0.4648078
1,0.8162798
1,0.8363331
1,0.9677874
0,0.34705734
1,0.9263665
1,0.9250998
1,0.98989314
1,0.9386841
1,0.11198204
0,0.053627074
0,0.034234975
1,0.3818873
1,0.82507974
1,0.84864056
1,0.9521706
1,0.79765975
1,0.8090663
1,0.8066589
1,0.908812
1,0.25886354
1,0.1621823
0,0.27508616
1,0.7417848
1,0.7764539
1,0.8267228
1,0.8295255
1,0.950381
1,0.8598107
1,0.8385568
1,0.86883754
1,0.7164592
1,0.89330095
1,0.92959267
1,0.9844562
0,0.106785506
1,0.798344
1,0.86790246
1,0.9155064
1,0.8809664
1,0.92935526
1,0.8200239
0,0.017498044
0,0.017536229
0,0.07733618
0,0.2315866
0,0.3680304
0,0.082650654
1,0.81324273
1,0.833226
1,0.8807951
1,0.7315041
1,0.7520856
0,0.059236355
1,0.8129991
1,0.8615584
0,0.009151544
0,0.0068097375
0,0.014956854
1,0.8969176
1,0.81884766
1,0.8886679
1,0.96990144
0,0.010228254
0,0.0060437773
0,0.011778442
0,0.009882314
0,0.013561709
0,0.008866028
0,0.0151089085
1,0.8822181
1,0.80420774
1,0.8323383
1,0.82907933
1,0.8644676
1,0.93861395
0,0.19515513
1,0.8320604
1,0.837711
1,0.9534366
0,0.017985562
0,0.0008581872
0,0.0033963765
1,0.9149702
1,0.9303918
1,0.9826043
1,0.86847365
1,0.91191804
1,0.9600698
1,0.90862554
1,0.8394664
1,0.80908704
0,0.007576306
0,0.0030601856
0,0.006105465
0,0.0073835053
1,0.041085742
1,0.13699159
1,0.1929214
1,0.68936497
1,0.76395684
1,0.8059529
1,0.81187063
0,0.0123155685
0,0.004061023
0,0.004418733
0,0.0059429705
0,0.1171818
0,0.07599923
1,0.5661885
1,0.89383465
1,0.9165131
1,0.9791753
1,0.8677531
1,0.8044671
1,0.8106339
1,0.906865
1,0.9232355
1,0.8778969
0,0.1001596
0,0.03767495
0,0.019883707
0,0.4663581
0,0.12225531
0,0.09467
0,0.06348674
0,0.04887416
0,0.017639661
0,0.018627075
0,0.013659803
0,0.12185801
1,0.8144827
1,0.8254138
0,0.021564003
1,0.6028299
1,0.76500463
0,0.02650518
0,0.28054798
0,0.030073356
1,0.25218812
1,0.41812867
1,0.86021775
1,0.7836554
1,0.7283386
0,0.069820814
0,0.013379373
0,0.013878507
0,0.2655787
1,0.5361855
0,0.50596344
1,0.9198979
0,0.008401771
0,0.002651233
0,0.0053902655
0,0.007846165
1,0.69277984
1,0.82221764
1,0.8593592
1,0.95867693
1,0.849034
1,0.87266004
1,0.89133847
1,0.009751223
0,0.0057888874
0,0.015101877
0,0.48917252
0,0.009128346
0,0.0050662626
0,0.0076584932
0,0.002519729
0,0.004357892
0,0.008060886
0,0.0044598463
0,0.053228337
0,0.015842551
0,0.018235423
1,0.8686219
1,0.85318863
1,0.9080801
1,0.7630054
1,0.79012716
1,0.85700995
1,0.87571913
0,0.056251965
0,0.050470766
0,0.06836357
1,0.40706253
1,0.9360754
1,0.20582086
1,0.093579754
1,0.85609406
1,0.77511233
1,0.7606778
1,0.877903
1,0.90521157
1,0.8935576
1,0.91854995
1,0.9670885
1,0.73380893
1,0.62547463
1,0.57332027
0,0.033577636
1,0.83432543
1,0.9103267
0,0.04155776
1,0.90160054
1,0.9316513
0,0.006864431
1,0.06893253
1,0.14914498
0,0.029301297
0,0.0033635565
0,0.0049585975
0,0.007582041
1,0.75782716
0,0.023430841
0,0.009440713
0,0.009784458
0,0.009118953
0,0.02637228
0,0.04309652
0,0.018094452
0,0.06867272
0,0.029554985
0,0.035510626
0,0.009783978
0,0.007654957
0,0.023997247
0,0.06935008
0,0.036426608
0,0.029619044
1,0.7574526
1,0.8936747
1,0.9293721
1,0.98305017
1,0.6390671
0,0.04019273
0,0.01529807
0,0.014991797
0,0.016822431
1,0.0047675283
1,0.0073798196
0,0.6610519
1,0.7125809
1,0.6985238
0,0.010865531
0,0.0060211867
0,0.013276654
1,0.9323142
1,0.7635837
1,0.69839776
1,0.9182402
1,0.15879042
1,0.09324352
1,0.92486256
1,0.5330765
1,0.42237902
0,0.06485553
0,0.013264973
0,0.015205798
0,0.019130781
1,0.75219
1,0.7869692
1,0.7535449
1,0.7122183
1,0.7765176
1,0.8512327
0,0.007655374
0,0.0134645505
0,0.02787277
0,0.16893813
1,0.83759904
1,0.79203784
1,0.79051334
1,0.79800254
1,0.7390338
1,0.7301377
0,0.086023584
1,0.3196117
0,0.26611605
1,0.70314217
1,0.84738624
1,0.87457275
1,0.9043223
1,0.77903694
0,0.44465175
1,0.027774293
0,0.012209473
0,0.016063606
1,0.909101
1,0.9466977
1,0.9877565
0,0.075714484
1,0.7533927
1,0.89313054
1,0.9206329
1,0.9727079
1,0.55950546
0,0.06412593
0,0.035269473
0,0.037021507
1,0.90093166
1,0.19730982
0,0.06859767
0,0.030778294
0,0.0021760976
0,0.0006666896
0,0.0019011934
0,0.0037694138
1,0.9300125
0,0.059843943
0,0.029297302
0,0.018367574
0,0.012029789
1,0.85323423
1,0.9097386
0,0.022124872
0,0.013116851
0,0.0108836675
0,0.0785733
0,0.10949986
0,0.09099965
0,0.31873634
0,0.53649276
1,0.81129265
1,0.84331536
1,0.96852857
0,0.06972091
0,0.027518976
0,0.033417884
0,0.03979382
1,0.861303
1,0.9100099
1,0.9142069
1,0.8926223
1,0.9230011
1,0.8990493
1,0.6849548
1,0.64156693
0,0.003802133
0,0.0047115
0,0.008374167
0,0.0053514936
1,0.86339253
1,0.8786175
1,0.89075273
0,0.34599805
0,0.08239319
1,0.7312091
1,0.8018155
1,0.881612
1,0.75639486
1,0.724565
1,0.89666265
1,0.90603113
1,0.9690193
0,0.2465955
1,0.42194393
1,0.4640567
1,0.7731705
1,0.59741133
1,0.19793119
1,0.16401704
1,0.8531143
1,0.5718146
1,0.4956208
1,0.49428478
1,0.7879124
1,0.8025098
1,0.2517465
1,0.78256845
1,0.8198598
0,0.32421643
1,0.72569025
1,0.8307747
1,0.88001674
1,0.96855676
0,0.10846487
0,0.04586646
0,0.03217402
0,0.050789572
0,0.02541432
0,0.030240642
0,0.026967542
0,0.055324133
1,0.09751622
1,0.17709483
1,0.804359
1,0.7093893
1,0.6592876
1,0.8663795
1,0.5459821
0,0.49772722
0,0.15633976
1,0.04882329
1,0.46810824
1,0.65003145
0,0.08213918
0,0.13002257
1,0.19164439
1,0.21276161
1,0.81582975
1,0.047955066
0,0.014116042
0,0.011139227
1,0.8637886
1,0.82096314
1,0.7994768
1,0.90963167
1,0.84757763
1,0.84953153
1,0.11553602
1,0.4798247
1,0.5685552
0,0.013294463
0,0.009516137
0,0.024207981
0,0.023652269
0,0.010983782
0,0.015439462
0,0.015967587
0,0.2006376
0,0.17353548
0,0.2044257
0,0.25607958
1,0.78827196
1,0.84872556
1,0.8586854
1,0.92815495
1,0.83772016
1,0.82138914
1,0.88735
1,0.8309307
1,0.89475757
1,0.96643275
0,0.18213199
1,0.8084948
1,0.8228811
1,0.874975
0,0.046564516
0,0.020734752
0,0.016225431
1,0.80185664
1,0.8794333
1,0.9110436
0,0.012468387
0,0.017120732
0,0.0135698775
1,0.77116346
1,0.83293647
1,0.84962213
1,0.8663087
1,0.83158815
1,0.89675015
1,0.93789124
1,0.67499596
1,0.03364577
0,0.022563905
1,0.042886835
1,0.59096503
0,0.012164858
0,0.009908583
0,0.019540353
1,0.039438944
1,0.41346696
1,0.62744397
0,0.049271308
0,0.028692763
0,0.024945902
0,0.2759056
0,0.0052171946
0,0.0047544283
0,0.00981148
1,0.8639793
1,0.8879159
0,0.41135508
1,0.7310934
1,0.7388365
1,0.898883
1,0.85349256
1,0.8450274
1,0.02383058
0,0.011535368
1,0.028615566
0,0.014737535
0,0.02219537
0,0.0151763
0,0.036954008
1,0.77765375
1,0.8288259
1,0.93338454
0,0.035831966
0,0.02608793
0,0.027585104
0,0.014991085
0,0.29919943
1,0.811106
1,0.80561763
1,0.6426671
1,0.7876217
1,0.8862795
1,0.9260163
1,0.9765261
0,0.013035549
0,0.010087762
0,0.013645824
0,0.10740613
1,0.8295333
1,0.86062765
1,0.85887796
1,0.8096796
1,0.83618087
1,0.8815523
1,0.8704216
0,0.2797172
1,0.19047445
1,0.73307437
1,0.7688899
1,0.8776751
1,0.8913391
1,0.9104424
1,0.8862353
1,0.909424
0,0.02965242
0,0.08134856
0,0.15481445
0,0.051391367
0,0.60692465
0,0.3695618
0,0.3203476
0,0.108336814
1,0.93853194
1,0.60593665
1,0.5162398
1,0.7793561
0,0.04866454
0,0.021199565
0,0.020639952
1,0.6445342
0,0.040844724
0,0.024766227
0,0.021145396
1,0.8896661
1,0.9031216
1,0.9683815
1,0.81781036
1,0.7662336
1,0.83024156
1,0.8213931
0,0.03370994
1,0.04381923
1,0.06322144
1,0.79059756
1,0.7719618
1,0.75963855
1,0.40853772
1,0.39683598
1,0.37067056
1,0.131211
0,0.028757138
0,0.020995665
0,0.017900856
1,0.83543956
0,0.6248474
0,0.16184646
0,0.0056873304
0,0.0018173263
0,0.0034076206
0,0.0036332377
1,0.7857377
0,0.026282292
0,0.013337843
0,0.0140958885
0,0.037305683
0,0.020348791
0,0.018055048
1,0.91088563
1,0.91004914
1,0.92995036
0,0.106702454
1,0.7560902
1,0.8219469
0,0.045000568
1,0.80668944
1,0.86228245
1,0.90990853
1,0.8667398
1,0.88727075
0,0.02478827
1,0.9143305
1,0.89510393
1,0.97086525
0,0.0004854859
0,0.00091244635
0,0.0025181489
1,0.8109949
1,0.796331
1,0.77894896
1,0.790273
1,0.8225236
1,0.9470785
1,0.8139186
1,0.516055
0,0.42211035
0,0.10265773
1,0.52951324
1,0.7950214
1,0.8003253
1,0.8739552
1,0.8888793
1,0.9651895
1,0.66928786
1,0.005991208
0,0.0025947455
0,0.0056869667
0,0.8398081
1,0.83347803
1,0.7384395
1,0.7714796
0,0.15027723
1,0.8706269
1,0.9098769
1,0.92035913
0,0.11147851
1,0.8978352
1,0.89831054
1,0.9448349
0,0.0062629776
0,0.0041031213
0,0.010944763
0,0.0064927037
0,0.006177122
0,0.016445855
0,0.36843613
1,0.8997526
1,0.91088283
1,0.98250824
0,0.040324204
1,0.6082606
1,0.76296777
1,0.8972823
0,0.04016929
0,0.016389929
0,0.015063053
0,0.008120629
0,0.0057241917
0,0.010134037
0,0.011112011
0,0.016540233
0,0.010016904
0,0.18197668
1,0.76963305
1,0.8051937
1,0.6850948
1,0.89801174
1,0.92057276
1,0.9370845
0,0.064587
0,0.026066115
0,0.026799198
0,0.023583235
1,0.7054796
1,0.8368815
1,0.8565128
1,0.35333773
1,0.9222035
1,0.9281371
1,0.92557627
1,0.9123042
1,0.9392361
1,0.7996537
1,0.8447173
1,0.8926319
1,0.97294146
0,0.035087127
1,0.8511263
1,0.7910077
1,0.79071736
0,0.15040661
1,0.75828546
1,0.7852937
1,0.851592
1,0.90174544
1,0.9579259
0,0.01100612
0,0.013458864
0,0.01102882
1,0.91716075
0,0.35936743
0,0.06761508
0,0.04767302
1,0.7177642
1,0.81331176
1,0.21798788
1,0.052097958
1,0.04283398
1,0.7867968
0,0.061621938
0,0.043608822
1,0.84422475
1,0.6602695
1,0.6127606
1,0.22001715
1,0.8404667
1,0.82952535
1,0.96984476
1,0.94775385
1,0.8493093
1,0.8237723
0,0.25910687
1,0.88882864
1,0.8875256
1,0.97015667
0,0.36677828
1,0.9314614
1,0.93314326
1,0.9891811
0,0.0075827762
0,0.0013227515
0,0.0020605647
0,0.003939301
0,0.01882624
0,0.026668148
0,0.04695518
0,0.14182448
0,0.89243305
0,0.06958361
