repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.8191104398822744,0.7414341222182974,0.8967867575462513,0.898558764987857,0.6310109832818435
0,valid,0.8002821945601184,0.7534818941504178,0.8470824949698189,0.8002821945601184,0.5906181913223315
0,test,0.7977375720955782,0.743202416918429,0.8522727272727273,0.7977375720955782,0.5684805180250949
1,train,0.8683028120413301,0.7864044168391995,0.9502012072434608,0.9263012512618847,0.723973583412643
1,valid,0.8078512396694215,0.7520661157024794,0.8636363636363636,0.8078512396694215,0.6058070614749181
1,test,0.7727668845315904,0.7233115468409586,0.8222222222222222,0.7727668845315904,0.5321041340558701
2,train,0.8673243105847437,0.8092605390463027,0.9253880821231848,0.924099348746686,0.722313079464909
2,valid,0.8038516917651676,0.765814266487214,0.8418891170431212,0.8038516917651675,0.5951519478523224
2,test,0.7095176192023771,0.6408839779005525,0.7781512605042017,0.7095176192023772,0.410516117648955
3,train,0.7406961082134464,0.5551369863013699,0.926255230125523,0.8569138856250359,0.489060169294582
3,valid,0.6937445048498676,0.46604527296937415,0.921443736730361,0.6937445048498676,0.4054068579090179
3,test,0.6615513282394394,0.4006888633754305,0.9224137931034483,0.6615513282394394,0.36730362353992274
4,train,0.8637287274349539,0.799590303857972,0.9278671510119356,0.9321453609849291,0.7119720632244366
4,valid,0.7978889054833695,0.7110817941952506,0.8846960167714885,0.7978889054833694,0.5805717229719162
4,test,0.7711111111111111,0.7111111111111111,0.8311111111111111,0.7711111111111112,0.5393093840987445
