repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.9162810268991888,0.8564004376367614,0.9761616161616161,0.9468636032093363,0.8176443767274719
0,valid,0.8158271418534078,0.7889390519187359,0.8427152317880795,0.8158271418534078,0.6215841117661867
0,test,0.6883195107260345,0.774869109947644,0.6017699115044248,0.6883195107260345,0.3780428897918104
1,train,0.8932245319717967,0.8175601750547046,0.9688888888888889,0.9395045089848153,0.7717203992946078
1,valid,0.8212107395392643,0.7516930022573364,0.890728476821192,0.8212107395392643,0.6309068458329484
1,test,0.7210304406245656,0.6544502617801047,0.7876106194690266,0.7210304406245656,0.4273453740938159
2,train,0.8861663130207988,0.8192013129102844,0.9531313131313132,0.9423903145237937,0.7579518188755436
2,valid,0.7949467806795928,0.7471783295711061,0.8427152317880795,0.7949467806795928,0.5793073772321993
2,test,0.6953620905342167,0.7801047120418848,0.6106194690265486,0.6953620905342167,0.39218054983569156
3,train,0.9165732820546826,0.8594091903719913,0.9737373737373738,0.9471302190394094,0.8184156748586541
3,valid,0.8056691283093896,0.7686230248306998,0.8427152317880795,0.8056691283093896,0.6008097030171422
3,test,0.6587823750173748,0.8219895287958116,0.49557522123893805,0.6587823750173748,0.3361708508365021
4,train,0.9219972150387905,0.8730853391684902,0.9709090909090909,0.9411467519837323,0.8299297909075578
4,valid,0.817744382820325,0.8126410835214447,0.8228476821192053,0.817744382820325,0.6278178923953475
4,test,0.7357410925265255,0.7015706806282722,0.7699115044247787,0.7357410925265255,0.45633098192550714
