repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.9499845568450838,0.9092193571176262,0.9907497565725414,0.9798920836461804,0.8902032885341267
0,valid,0.8255045593897647,0.83008356545961,0.8209255533199196,0.8255045593897647,0.6454227475255848
0,test,0.8172005172571638,0.8559919436052367,0.7784090909090909,0.8172005172571638,0.6276063782892225
1,train,0.9515705343170131,0.9126984126984127,0.9904426559356136,0.9836309089873957,0.8909920612694561
1,valid,0.8130913881902024,0.7961432506887053,0.8300395256916996,0.8130913881902024,0.6179971596982391
1,test,0.785771744595274,0.7647058823529411,0.8068376068376069,0.785771744595274,0.5593395542123403
2,train,0.9518245924519122,0.9101589495507948,0.9934902353530295,0.9752097911898947,0.8913530606764094
2,valid,0.8027641975342761,0.8129205921938089,0.7926078028747433,0.8027641975342761,0.5987136926660939
2,test,0.7401782812572544,0.7425414364640884,0.7378151260504202,0.7401782812572544,0.47254883395280617
3,train,0.9371518026021666,0.8941780821917809,0.9801255230125523,0.9737084097552587,0.8590724504728644
3,valid,0.7820994512624357,0.7616511318242344,0.802547770700637,0.7820994512624357,0.5513460136281587
3,test,0.7389890732016311,0.6590126291618829,0.8189655172413793,0.7389890732016311,0.47770872045022805
4,train,0.910385967287028,0.8456811198361216,0.9750908147379346,0.9750447496121228,0.8037504201669581
4,valid,0.759891693356123,0.6728232189973615,0.8469601677148847,0.759891693356123,0.506941810543319
4,test,0.751578947368421,0.6631578947368421,0.84,0.7515789473684209,0.5031578947368421
