valid_true,valid_probe
1,0.51201254
1,0.55093956
1,0.4455337
1,0.44495952
1,0.52986556
1,0.53505886
1,0.5142005
1,0.45233917
1,0.41643003
0,0.4787074
1,0.55381614
1,0.43942282
0,0.5007354
0,0.5493663
0,0.43089688
0,0.46531337
1,0.55842716
1,0.46854538
1,0.4015093
0,0.5322787
0,0.5085477
0,0.47252646
0,0.47068715
0,0.5613614
0,0.5115104
0,0.4507977
1,0.5723897
1,0.5263748
1,0.5414534
0,0.44231293
0,0.40413603
0,0.52403235
1,0.56340134
1,0.4336015
1,0.6046374
1,0.49605918
1,0.41108134
0,0.5024902
1,0.55062467
1,0.4624444
1,0.40479636
1,0.5670889
1,0.51527214
1,0.39649022
1,0.46109313
0,0.48031157
0,0.5714733
0,0.45566556
0,0.48984796
1,0.53447044
1,0.5548066
1,0.47800887
0,0.5053541
1,0.56933486
1,0.39077502
1,0.5090867
1,0.56370956
1,0.4282476
1,0.49059367
1,0.5440889
1,0.5851218
1,0.47611016
1,0.50505483
1,0.54092884
1,0.48702407
1,0.5068483
1,0.5422774
1,0.42568198
0,0.5767521
0,0.5031553
0,0.46905112
1,0.48110598
1,0.552223
1,0.40691712
1,0.511806
1,0.5213286
1,0.5469582
1,0.42337614
1,0.4633465
1,0.5482157
1,0.50885564
1,0.46414277
0,0.5503725
0,0.45685953
0,0.4323786
0,0.5060829
0,0.60941464
0,0.41997772
0,0.4854241
0,0.51573116
0,0.544252
0,0.5246252
0,0.4159928
1,0.5999371
1,0.3984133
1,0.4953074
1,0.544731
1,0.44880438
1,0.4827767
0,0.49521938
0,0.5413051
0,0.4583561
0,0.4759265
1,0.5339432
1,0.48038968
1,0.48870638
1,0.50730485
1,0.5664238
1,0.4215084
0,0.47316563
0,0.53523624
1,0.45634288
0,0.4782057
1,0.6086724
1,0.4700216
0,0.5217082
0,0.5689793
0,0.40897837
0,0.514201
0,0.44335723
1,0.5246419
0,0.5532454
0,0.44977617
0,0.46148863
1,0.52972114
1,0.48432374
1,0.43573236
0,0.4970789
1,0.596225
1,0.48585644
1,0.47666857
1,0.54256094
1,0.40796065
0,0.59166723
0,0.5302302
0,0.4569293
0,0.43393287
0,0.5067847
0,0.5721397
0,0.4303019
0,0.52356136
0,0.47237924
1,0.5815337
1,0.44009414
0,0.5629339
1,0.5061961
0,0.452415
0,0.3925422
1,0.48574314
1,0.5478914
1,0.41678897
0,0.4934344
0,0.54889417
0,0.38420418
0,0.45784032
1,0.523798
1,0.521357
1,0.41722664
0,0.5006953
0,0.53650016
0,0.42965072
0,0.46981263
1,0.51306283
1,0.5413901
1,0.48096022
1,0.4772222
0,0.4849087
0,0.44475484
0,0.4909739
1,0.4743607
1,0.5799623
1,0.39522463
0,0.511557
1,0.51126814
1,0.5086678
1,0.4742238
1,0.452188
0,0.48831505
1,0.5376032
1,0.45308834
0,0.45132044
0,0.52642465
0,0.49405417
0,0.44907182
0,0.48196653
1,0.4751764
1,0.51955736
1,0.38586837
1,0.51743835
0,0.42213213
0,0.4639456
0,0.47247025
0,0.5379378
0,0.5345732
0,0.38284937
0,0.54095244
0,0.52165985
1,0.5310781
1,0.4728132
0,0.4933615
0,0.4380525
0,0.48580146
1,0.5333329
1,0.5188859
1,0.4631214
1,0.5296166
1,0.5410957
1,0.38549915
0,0.49740666
1,0.57046825
1,0.45596
1,0.40180707
1,0.557436
1,0.4675872
1,0.43947327
1,0.5254582
1,0.4324261
1,0.4025454
0,0.53164643
0,0.48909983
0,0.410026
1,0.49900717
1,0.5179668
1,0.43293718
1,0.48979104
1,0.57236683
1,0.43455553
1,0.5833408
1,0.51985246
1,0.45933664
1,0.50428283
1,0.47197893
1,0.59238017
1,0.47012237
1,0.5797109
0,0.5269327
0,0.41398215
0,0.45190492
1,0.56961626
0,0.56455386
0,0.4328774
0,0.47434825
1,0.56287485
1,0.5439951
1,0.41272697
1,0.4159895
1,0.5553482
1,0.5331018
1,0.42073703
0,0.48964489
0,0.57455784
0,0.3855803
0,0.5196742
1,0.51289445
1,0.5650228
1,0.3916155
1,0.5513961
1,0.5633735
1,0.4063295
1,0.5949485
1,0.4050091
0,0.5191208
0,0.44408128
0,0.50229293
0,0.53488547
0,0.5513379
0,0.42661163
0,0.41235262
1,0.54116154
1,0.5965947
1,0.39635348
1,0.4679882
1,0.5702954
1,0.3862134
0,0.49222606
1,0.5432104
0,0.566521
0,0.45315188
0,0.4308577
1,0.5423934
1,0.53045917
1,0.42866716
1,0.4768085
0,0.49655792
0,0.42086354
0,0.48424515
0,0.5251858
0,0.43846652
0,0.41499302
1,0.5316845
1,0.5279967
1,0.447845
0,0.5151306
1,0.56434786
1,0.4604082
1,0.44848993
1,0.5429924
1,0.57571495
1,0.40289196
1,0.56633407
1,0.5463291
1,0.43161666
1,0.46157485
1,0.5400913
1,0.61810625
1,0.3848352
0,0.5432275
0,0.46282786
0,0.47617105
1,0.48339066
1,0.5820909
1,0.43594596
1,0.4951068
0,0.6049677
0,0.3919993
0,0.48326585
0,0.5322795
0,0.4581571
0,0.46569443
0,0.55954206
1,0.5437687
1,0.40902138
0,0.5248641
1,0.6138863
1,0.5011006
1,0.5000225
1,0.5606873
1,0.4248172
1,0.47287235
1,0.49024022
1,0.52671796
1,0.42359844
0,0.5379378
0,0.38284937
0,0.54095244
0,0.5346236
1,0.54738563
1,0.43291938
1,0.47204608
0,0.5662464
0,0.53111535
0,0.4019134
0,0.50228816
1,0.5106317
1,0.54552805
1,0.49069932
0,0.44912073
1,0.5264179
1,0.5360625
1,0.46176848
0,0.42042184
0,0.569488
0,0.5465799
0,0.41235465
0,0.4955534
1,0.4857434
1,0.5450485
1,0.4613752
1,0.5139755
1,0.548688
1,0.43552876
0,0.5409894
1,0.566502
1,0.45116585
1,0.5747263
1,0.45673904
0,0.5208481
1,0.5614558
1,0.47016022
1,0.49436298
1,0.61305785
1,0.41841716
1,0.5869275
1,0.5506814
1,0.41286826
0,0.53524464
1,0.5318142
1,0.4783485
1,0.567849
0,0.6029996
0,0.4720105
0,0.44049746
0,0.5406637
0,0.5314787
0,0.446196
0,0.5144168
1,0.5620872
1,0.52973056
1,0.3933859
1,0.52413666
1,0.5941085
1,0.39966688
1,0.56711954
1,0.5357427
1,0.4582974
1,0.39427733
0,0.5416584
0,0.5223214
0,0.43519884
0,0.43556082
1,0.49146226
0,0.5328674
0,0.45313427
0,0.4776474
1,0.53782016
1,0.46128613
1,0.5008518
0,0.43992513
0,0.48202258
0,0.41186932
0,0.5297452
0,0.5574662
0,0.4751232
0,0.47644955
1,0.5236859
0,0.42952722
0,0.44082987
1,0.5924927
1,0.48797032
1,0.521103
0,0.49974746
1,0.5716603
1,0.40176284
1,0.5269904
1,0.5815446
1,0.48253742
0,0.48594442
1,0.5781585
1,0.44617426
0,0.48664728
0,0.5512589
0,0.3936602
0,0.4922587
1,0.48653248
1,0.59072244
1,0.43308443
1,0.5535378
1,0.5086794
1,0.48969942
1,0.53861564
1,0.5705179
1,0.43642923
0,0.47527453
0,0.4782744
0,0.5019117
0,0.470886
1,0.5244425
1,0.5688748
1,0.39250216
0,0.49725497
0,0.5308312
0,0.49366188
0,0.50803244
0,0.5065553
1,0.5445828
1,0.44865057
0,0.5120736
0,0.52088505
0,0.41012332
0,0.47727922
1,0.56435895
1,0.55354124
0,0.392717
0,0.4678178
1,0.5269226
1,0.58441925
1,0.39920554
0,0.5400475
1,0.5341363
1,0.43365788
1,0.44607082
0,0.5887102
0,0.5174062
0,0.515652
1,0.56700647
1,0.54879916
0,0.4869265
0,0.48798156
0,0.50795263
0,0.66156626
0,0.48537117
0,0.48064497
1,0.49418095
1,0.5593136
1,0.47550127
1,0.48751634
1,0.5136993
1,0.50561315
0,0.54144937
1,0.5477514
1,0.44229957
1,0.5208826
0,0.4315098
0,0.49861714
1,0.5435955
1,0.46992007
1,0.45220333
1,0.5595892
1,0.5328096
1,0.43576828
1,0.5608283
1,0.51931024
1,0.4386066
0,0.44718587
1,0.46340504
1,0.5535301
1,0.42717844
1,0.5460883
1,0.5447283
1,0.43853134
1,0.50330245
1,0.62783456
1,0.46200806
1,0.53440845
1,0.46955007
1,0.614976
1,0.44196635
1,0.46496138
1,0.49662918
1,0.5825137
1,0.43203864
1,0.51405066
1,0.5933315
1,0.45353153
1,0.42684942
0,0.54643434
0,0.45068195
0,0.37373698
1,0.64027333
1,0.49236837
1,0.42935196
1,0.54241866
0,0.5270805
0,0.45041725
0,0.4497375
1,0.55773115
1,0.5251382
1,0.4143764
1,0.5309899
1,0.5452755
1,0.4264128
1,0.5205992
0,0.48758537
1,0.5450942
1,0.43215874
0,0.48960602
0,0.5282105
0,0.5497523
0,0.4943694
0,0.4191344
1,0.524652
1,0.49989584
1,0.41443464
1,0.55736893
0,0.55484647
0,0.44363043
0,0.4182133
1,0.5300828
1,0.54842025
1,0.49462417
1,0.3959524
1,0.5583212
1,0.56091326
1,0.4001513
0,0.518688
0,0.59497297
0,0.47760466
1,0.47427306
0,0.59324807
0,0.4457585
0,0.44017228
0,0.46362144
1,0.56563455
1,0.35965687
0,0.533419
1,0.61602986
1,0.46514845
1,0.5219671
1,0.4768588
1,0.45733717
0,0.55723524
1,0.5525003
0,0.47965008
1,0.4387543
1,0.57901865
1,0.49700975
1,0.4241966
0,0.50370884
1,0.56103003
1,0.45675197
0,0.56420225
0,0.46683612
0,0.43914834
0,0.48780382
1,0.5746817
1,0.41683266
1,0.53003174
0,0.54206896
0,0.4125589
0,0.511795
0,0.5308047
1,0.53862476
1,0.37124214
0,0.53127784
1,0.5311989
1,0.46672142
1,0.45242777
0,0.46836212
0,0.43347776
0,0.57869846
0,0.5682256
0,0.52158296
0,0.50341994
1,0.5011861
1,0.6249057
1,0.50119853
0,0.50328165
0,0.44537538
0,0.41492563
1,0.5016978
1,0.5784559
1,0.42103466
0,0.53385586
0,0.52770543
0,0.4094846
0,0.50932974
0,0.5226505
0,0.5313565
0,0.46904022
0,0.41843453
1,0.54336214
1,0.518831
1,0.4476197
1,0.5378634
1,0.54394376
1,0.45130408
0,0.5221475
0,0.53898853
0,0.40545532
0,0.50575
0,0.51000905
0,0.54824334
0,0.44404066
0,0.50186557
1,0.47875455
1,0.52351534
1,0.53912944
1,0.47164944
0,0.55755055
0,0.4784944
0,0.4716896
1,0.51273495
1,0.54331917
1,0.45605713
1,0.521552
1,0.41805974
1,0.46058404
1,0.534899
0,0.38743576
0,0.5113223
1,0.5397451
1,0.5219348
1,0.5129818
0,0.51530164
1,0.5650213
0,0.48940077
0,0.48028776
1,0.5547196
1,0.5472869
1,0.3965133
0,0.56502444
0,0.52736926
0,0.45147735
0,0.5196758
1,0.54475707
1,0.5156257
1,0.43207917
0,0.46063817
1,0.46810582
1,0.5660246
1,0.47931352
1,0.47569072
1,0.54529124
1,0.5527244
0,0.39718443
0,0.4363209
0,0.53731537
1,0.55359244
1,0.4015881
0,0.47964668
0,0.4946346
1,0.54568756
1,0.43469715
0,0.54869556
0,0.48008898
0,0.43175292
0,0.53672564
0,0.53216696
0,0.42917284
0,0.47351095
1,0.5839641
0,0.5656655
0,0.47646725
0,0.47968826
1,0.53986645
1,0.5550312
1,0.42086843
1,0.49397475
0,0.5656029
0,0.43190593
0,0.4495787
0,0.52797014
0,0.45869946
0,0.43353143
1,0.60553557
1,0.5449341
1,0.446581
1,0.4342755
1,0.5741767
1,0.47631773
1,0.49207684
1,0.54782295
1,0.50035906
1,0.3897372
0,0.48082688
0,0.57657504
0,0.5118689
0,0.48016238
0,0.54076236
0,0.41155383
0,0.45871913
0,0.5148904
1,0.53845596
1,0.40964183
1,0.52627945
1,0.5207319
1,0.5276253
1,0.4584466
1,0.44056502
1,0.56395745
1,0.4759034
1,0.49112496
1,0.5538314
1,0.5416501
1,0.4315982
1,0.5789918
1,0.54783326
1,0.48190892
1,0.54211974
1,0.6009285
1,0.45790634
1,0.52047014
1,0.57622653
1,0.4858922
1,0.48939875
1,0.59817475
1,0.48385927
1,0.5424665
1,0.50441694
1,0.50244635
1,0.54132587
1,0.59227306
1,0.47718853
0,0.49657843
0,0.4301164
0,0.5152073
0,0.58601594
0,0.5219993
0,0.44064963
0,0.433691
0,0.56776935
1,0.5194398
1,0.4331733
0,0.50514024
1,0.59487414
1,0.40386423
0,0.49803242
0,0.5428473
0,0.4640258
0,0.48781392
1,0.55119073
1,0.515513
1,0.48422995
1,0.42283848
0,0.5266395
0,0.5386657
0,0.4507828
0,0.5008993
0,0.54758894
0,0.5091955
1,0.4403319
0,0.42685756
1,0.5533816
1,0.54134727
1,0.46076915
1,0.55156314
1,0.5472235
0,0.3826378
0,0.49698797
0,0.5095535
1,0.597661
1,0.45376214
0,0.4078788
0,0.5442857
1,0.5786342
1,0.44536602
1,0.56003535
1,0.54266196
1,0.41300112
0,0.51236457
1,0.5447432
1,0.4173143
1,0.48012567
1,0.59092724
1,0.59231937
1,0.43288276
1,0.43332896
0,0.57388526
0,0.5880583
0,0.4951927
0,0.38588148
1,0.53594095
1,0.5134828
1,0.43352574
1,0.4600699
1,0.49604905
1,0.5536116
1,0.47443792
1,0.47692496
1,0.5197767
1,0.53812784
1,0.41772857
1,0.5488439
1,0.55611193
1,0.43093482
0,0.52222854
0,0.57837063
0,0.373467
0,0.4085866
0,0.52146804
0,0.50927925
0,0.42071095
0,0.50239336
0,0.4866691
0,0.5917306
0,0.4670608
1,0.47704786
1,0.5459505
1,0.5584363
1,0.4408017
0,0.4484632
1,0.5064976
1,0.4110906
1,0.5616991
1,0.5111746
1,0.47300568
1,0.3903879
1,0.52436936
1,0.5040142
1,0.39674798
1,0.56959635
1,0.60281515
1,0.4543196
1,0.4602276
1,0.53531486
0,0.5687599
0,0.48804414
0,0.40060735
1,0.53067076
1,0.5686583
1,0.4435946
1,0.5895159
1,0.5691184
1,0.48919475
1,0.51738226
1,0.5412327
1,0.41117972
1,0.558279
1,0.45066422
1,0.4998427
1,0.5427065
1,0.4694981
0,0.5058966
1,0.60877335
1,0.46918923
0,0.5571471
0,0.53840816
0,0.46679434
0,0.45507285
1,0.5933846
1,0.4635789
1,0.4808037
1,0.56068945
1,0.4300887
0,0.5342289
1,0.5074033
1,0.4053282
1,0.45353252
0,0.5515016
1,0.6278918
1,0.51315874
1,0.5339025
1,0.543561
1,0.45774382
1,0.48345006
1,0.5669952
1,0.473986
1,0.4795739
0,0.42813462
1,0.5648774
1,0.5602761
1,0.42955995
1,0.52838576
1,0.54771155
0,0.3965072
0,0.45971948
1,0.5073464
1,0.51022637
0,0.48290864
0,0.5168643
0,0.6001193
0,0.53220224
0,0.45782417
0,0.41057828
0,0.5030013
0,0.5432495
0,0.52196556
0,0.41836053
1,0.5605762
1,0.49166545
1,0.42194146
1,0.4513044
0,0.49952325
0,0.42749572
0,0.4484251
0,0.55448705
0,0.45602077
0,0.45422322
1,0.5674622
1,0.5024689
1,0.440305
1,0.4308542
1,0.52221555
0,0.5492624
0,0.45679095
0,0.40333942
0,0.502175
0,0.51329654
0,0.5057081
0,0.4354086
1,0.5815113
1,0.5330933
1,0.4269191
0,0.52493453
1,0.51456124
1,0.44986677
0,0.4950916
1,0.55401784
1,0.5225589
0,0.4942842
0,0.57213587
0,0.5000883
0,0.44726285
1,0.5088768
1,0.53670865
1,0.45444533
1,0.47282246
0,0.51889527
1,0.53178895
1,0.5127896
0,0.53264785
0,0.46514267
0,0.45759532
1,0.49694696
1,0.57294935
1,0.4140588
1,0.5209799
1,0.55414355
0,0.40478942
0,0.5086369
0,0.5376022
0,0.42330727
0,0.46276972
0,0.4268817
1,0.5877462
1,0.5156733
1,0.43265155
0,0.49452558
0,0.5222796
1,0.48027092
0,0.47914487
0,0.54185396
0,0.44105053
0,0.49268445
1,0.55124885
1,0.49354216
1,0.4445576
0,0.49990937
1,0.5667333
1,0.45695892
1,0.48000672
1,0.55224854
1,0.55300385
1,0.4357819
1,0.54133165
1,0.449246
1,0.45508692
0,0.55684114
0,0.45538822
0,0.399663
1,0.51786685
1,0.5473926
1,0.42418534
1,0.49976563
1,0.45082495
1,0.47135103
0,0.50497496
1,0.58488446
0,0.44980454
0,0.42613667
0,0.510029
0,0.5460789
1,0.40691176
0,0.48801738
1,0.47799927
1,0.56773037
1,0.47043923
0,0.553315
0,0.55601233
0,0.48636433
0,0.41177532
1,0.54508615
1,0.54752785
1,0.47788772
1,0.45679307
1,0.49252477
1,0.5230934
1,0.4691946
1,0.43455645
1,0.560441
1,0.41579056
1,0.48889056
1,0.5862086
1,0.5290787
1,0.41574535
1,0.54831773
1,0.4838844
1,0.43655443
1,0.6022626
1,0.55906844
1,0.38471925
0,0.5331087
0,0.43477663
0,0.4801541
0,0.5333275
0,0.49985465
0,0.48817602
0,0.51039034
0,0.5095535
1,0.597661
0,0.45376214
0,0.4078788
1,0.5393004
1,0.6122187
0,0.4379155
0,0.49805945
0,0.5227505
1,0.53596073
1,0.41391122
1,0.45244387
1,0.5339238
1,0.5316211
1,0.48495522
1,0.40229675
0,0.48810637
1,0.58220494
1,0.43994844
1,0.4261634
1,0.5521568
1,0.5582858
1,0.4058775
0,0.5314581
1,0.5830807
1,0.46493396
0,0.51850945
0,0.56180674
0,0.48154256
0,0.42837018
1,0.5023084
1,0.52384293
1,0.4407178
1,0.55036855
1,0.50946003
0,0.45057946
0,0.42766562
1,0.5569423
1,0.5230432
1,0.50016934
1,0.50639474
1,0.55034286
0,0.43570969
0,0.42719424
1,0.5232592
1,0.567295
1,0.41349053
1,0.52936095
1,0.54646945
1,0.4817225
0,0.50365204
0,0.54908085
0,0.45166686
0,0.4792679
0,0.50332975
1,0.5093061
1,0.43115425
1,0.49092728
0,0.5239692
0,0.46249303
1,0.47127774
1,0.5178874
1,0.5495273
1,0.39769065
1,0.5051507
1,0.5408764
1,0.41111723
1,0.52548283
1,0.5293143
1,0.46795902
1,0.57744676
1,0.59041816
0,0.47218865
0,0.45024094
0,0.5215408
0,0.5779485
0,0.44695577
0,0.4763615
1,0.5291725
1,0.5454917
1,0.45068002
1,0.5257062
1,0.5578775
1,0.46339428
1,0.49109668
1,0.6162046
1,0.38298473
1,0.53218025
1,0.54134107
1,0.60365003
1,0.42050275
1,0.5302769
1,0.5048238
0,0.4277352
0,0.4337225
1,0.55659306
1,0.59184897
1,0.43586278
1,0.5080387
0,0.4734306
1,0.58601016
1,0.4126427
1,0.5648202
1,0.5575376
1,0.40185258
1,0.50924003
1,0.60378766
1,0.41433004
1,0.50898385
1,0.59238935
1,0.4236182
1,0.51755506
1,0.5017079
1,0.4625529
0,0.5590567
1,0.5705174
1,0.45518935
1,0.5551187
1,0.5326219
1,0.46379715
1,0.4981657
0,0.42765987
1,0.4989194
1,0.5767449
1,0.4849323
1,0.5381357
1,0.53505164
1,0.47913584
0,0.49624565
1,0.5409386
1,0.42623585
1,0.54048246
1,0.5290642
1,0.39850575
1,0.5171773
1,0.4921276
1,0.5036237
1,0.47512367
0,0.56831586
0,0.3948382
0,0.48864383
0,0.50077313
0,0.57422185
0,0.45324707
0,0.47014746
0,0.52568835
0,0.4239486
0,0.5230975
1,0.6007335
1,0.6607756
1,0.51642895
1,0.46819863
1,0.52290857
1,0.5307611
0,0.41241205
