valid_true,valid_probe
1,0.8486305
1,0.9459945
1,0.89162827
1,0.96941435
0,0.16836658
1,0.14037116
1,0.14704642
1,0.79592675
1,0.7493859
1,0.5363101
0,0.19404252
1,0.16916293
1,0.1441046
1,0.41104594
0,0.21512473
0,0.24884501
1,0.719109
1,0.6506088
1,0.4520934
0,0.012426612
0,0.016164236
0,0.028681276
0,0.041194867
1,0.8155625
0,0.7392841
0,0.75611573
0,0.51479125
1,0.7421476
1,0.8431694
1,0.82713485
1,0.90111333
1,0.90186924
1,0.93414426
0,0.31306878
1,0.5270076
1,0.45875368
1,0.72463125
1,0.7932389
1,0.69176745
0,0.09896744
1,0.91026556
1,0.80464983
1,0.9771593
1,0.72830987
1,0.9026716
1,0.8396984
1,0.89508235
1,0.82212955
0,0.785096
0,0.7621997
0,0.7721472
1,0.52522093
1,0.76673186
1,0.75530696
1,0.766968
1,0.6139333
1,0.31133345
1,0.8579476
1,0.9298063
1,0.9422605
1,0.8359693
1,0.69329023
1,0.80158
1,0.81782925
1,0.5606388
1,0.53783745
1,0.59189326
1,0.9545814
1,0.93025374
1,0.9283789
0,0.02428209
0,0.03104612
0,0.059336573
0,0.049313184
1,0.61407167
1,0.8261065
1,0.85728145
1,0.5934052
1,0.95000213
1,0.95040035
1,0.9461266
1,0.70569944
1,0.5445745
1,0.4893773
0,0.51946765
1,0.11654657
0,0.022888923
0,0.016359016
0,0.022798032
1,0.761984
1,0.77744424
0,0.5521941
0,0.72590375
1,0.55047244
1,0.5531293
1,0.87108266
1,0.87608117
1,0.8835447
1,0.79019463
0,0.021272898
0,0.49942297
0,0.5608738
0,0.26509333
1,0.9154222
1,0.90122235
1,0.88881564
1,0.27902716
1,0.23706828
1,0.18972309
0,0.045095474
0,0.6658652
0,0.73489094
0,0.29073882
1,0.64963216
1,0.8087734
1,0.7813679
0,0.03212453
1,0.10211068
0,0.06361518
0,0.0748875
0,0.053724237
0,0.043768816
1,0.05649354
0,0.038367804
0,0.7441215
0,0.7233639
0,0.6229647
0,0.4367477
1,0.9523768
1,0.90221
1,0.9216061
1,0.3362459
1,0.9110263
1,0.8948467
1,0.7581745
1,0.89786136
1,0.86614066
0,0.0021497756
0,0.0030697072
0,0.0050489483
0,0.0038589456
1,0.123844646
0,0.060032394
0,0.077184156
0,0.105035886
1,0.51831406
1,0.26256806
1,0.16663139
0,0.019750213
0,0.051945895
1,0.058236938
0,0.0737121
1,0.7819737
1,0.8990559
1,0.90497065
0,0.011331679
0,0.012693746
0,0.025932847
0,0.028330524
1,0.9442103
1,0.907796
1,0.9507677
0,0.017133584
0,0.026168106
0,0.03657162
1,0.65610015
1,0.5330308
1,0.41209552
1,0.18670826
0,0.005938603
0,0.0099863
0,0.023967622
0,0.027429355
1,0.69465446
1,0.64096874
0,0.10743739
1,0.5117736
1,0.38995975
1,0.23597938
1,0.23430406
0,0.037959274
0,0.03485304
0,0.02182714
0,0.02816612
0,0.02296221
0,0.018501705
0,0.026053695
0,0.034686703
1,0.9171991
1,0.8551022
1,0.8266623
0,0.065101825
0,0.10061832
1,0.10234145
0,0.0776482
0,0.8873255
0,0.79300123
0,0.49950364
0,0.89179397
0,0.5891712
0,0.25519812
0,0.20894653
1,0.030886438
1,0.025550975
1,0.030670322
0,0.016870456
0,0.02928805
0,0.03883608
1,0.71697927
1,0.57469124
1,0.5099241
1,0.8039035
1,0.8796797
1,0.8580086
0,0.06465617
1,0.90623444
1,0.81682706
1,0.9740742
1,0.978729
1,0.9428131
1,0.9759058
1,0.9281883
1,0.9096612
1,0.9101346
0,0.6170983
0,0.5068895
0,0.3325968
0,0.011878039
1,0.032854643
1,0.043614857
1,0.7140831
1,0.55949515
1,0.4079697
1,0.8656097
1,0.95315963
1,0.92963314
1,0.9697313
0,0.42901313
1,0.7317766
1,0.7397455
0,0.0076458305
0,0.0036630733
0,0.0045231665
0,0.014181082
0,0.025111813
0,0.008403424
0,0.019808084
1,0.9200762
1,0.9267386
1,0.92546487
1,0.9240005
1,0.90412265
1,0.8424624
1,0.86491
0,0.236939
1,0.18133265
1,0.07281989
1,0.06073789
0,0.8350422
1,0.893468
1,0.9030755
1,0.46008468
1,0.95076877
1,0.9509603
0,0.1465333
0,0.113774836
0,0.09407918
0,0.11067644
0,0.06494893
0,0.046489663
0,0.064609945
0,0.1677139
1,0.59788275
0,0.37841767
1,0.9463817
0,0.04633928
0,0.03876324
0,0.038265314
0,0.081385076
0,0.60098344
1,0.15230957
1,0.42053035
1,0.36823288
1,0.63200384
0,0.10661847
0,0.24580449
0,0.27552187
0,0.17627926
0,0.27297208
0,0.6931934
0,0.6455425
0,0.48803914
1,0.3506572
1,0.121208616
1,0.06204169
1,0.71750253
1,0.78959525
1,0.8121102
1,0.6963856
1,0.6513563
1,0.7031359
1,0.6810102
1,0.20715992
1,0.74775845
1,0.61402184
1,0.8479459
0,0.26179126
1,0.85535806
1,0.8474406
0,0.64774525
0,0.8626964
0,0.871089
0,0.7719299
1,0.6065434
1,0.8573541
1,0.80860746
0,0.045736123
0,0.030119726
0,0.03114914
0,0.040016983
0,0.054378238
0,0.031299524
0,0.045634307
1,0.8507226
1,0.7160917
1,0.59949684
1,0.92458165
1,0.90478516
1,0.85695106
1,0.74408156
1,0.81818515
1,0.77394396
1,0.8259344
1,0.72916424
1,0.86757445
1,0.8671909
1,0.025882384
0,0.019100063
0,0.05666745
1,0.795675
1,0.75239795
1,0.7173134
1,0.4868543
1,0.72693616
1,0.3435742
0,0.12623832
0,0.102199525
1,0.8499281
1,0.802196
0,0.7142381
0,0.69814914
0,0.22836167
0,0.18624967
0,0.22229588
0,0.021232607
0,0.022998169
0,0.025118485
0,0.031197038
1,0.9338849
1,0.9321827
1,0.9224165
1,0.9314799
1,0.93525606
1,0.7713425
1,0.8970545
1,0.8708818
0,0.039652046
1,0.28280288
1,0.3399215
0,0.19882403
1,0.7665943
1,0.7548138
1,0.6751535
1,0.8283978
1,0.83926564
1,0.21750659
1,0.35022017
1,0.3154278
0,0.10305865
1,0.78550977
1,0.77074385
0,0.049893033
0,0.033036575
0,0.062698804
1,0.7975322
1,0.5331623
0,0.27689394
0,0.2788349
1,0.63294756
1,0.88033885
1,0.85311097
1,0.75455904
1,0.866676
1,0.86906177
1,0.7386375
1,0.90612316
1,0.8269957
1,0.9309401
1,0.6254434
0,0.51712936
0,0.38222492
0,0.35800406
0,0.07579005
0,0.11420767
0,0.13012174
0,0.1280366
1,0.82269853
1,0.8614705
1,0.79657114
1,0.6684256
1,0.4535032
0,0.18099368
0,0.11364083
