repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.9606099805430006,0.9251148004238785,0.9961051606621227,0.9922202957450154,0.9120979693917903
0,valid,0.7922339048216878,0.7534818941504178,0.8309859154929577,0.7922339048216878,0.5749565141245843
0,test,0.7272326741737618,0.7764350453172205,0.678030303030303,0.7272326741737617,0.445434193307951
1,train,0.8264514623975738,0.6780538302277432,0.9748490945674044,0.9480834281048611,0.651556187205373
1,valid,0.7352377530243143,0.5633608815426997,0.9071146245059288,0.7352377530243143,0.4793660853129837
1,test,0.6763197586726999,0.47058823529411764,0.882051282051282,0.6763197586726999,0.3647350740032343
2,train,0.9727372676153138,0.9474775397373877,0.9979969954932398,0.9935827203140578,0.9365354422457192
2,valid,0.8081477776150299,0.8236877523553163,0.7926078028747433,0.8081477776150299,0.610601527757889
2,test,0.7193184456102883,0.7613259668508288,0.6773109243697479,0.7193184456102883,0.4358676617021924
3,train,0.9754950707858084,0.9530821917808219,0.997907949790795,0.9946643763970884,0.9412310466668233
3,valid,0.798799053491311,0.8268974700399467,0.7707006369426752,0.798799053491311,0.5928603572240491
3,test,0.7528677896987213,0.7600459242250287,0.7456896551724138,0.7528677896987214,0.5038375544915289
4,train,0.9622397076777985,0.9296688289518606,0.9948105864037364,0.9886170416515553,0.9118071128885465
4,valid,0.7704526974328338,0.8113456464379947,0.7295597484276729,0.770452697432834,0.5381308518538663
4,test,0.7322027290448343,0.7251461988304093,0.7392592592592593,0.7322027290448343,0.4615595010981249
