repetition,group,accuracy,sens,spec,auc,mcc
0,train,0.9523520200093759,0.9095725891910985,0.9951314508276533,0.9903958366079815,0.8947104138567614
0,valid,0.7821763449779457,0.7172701949860725,0.8470824949698189,0.7821763449779456,0.5551431439632021
0,test,0.755636043211572,0.6968781470292045,0.8143939393939394,0.7556360432115721,0.4871597892073421
1,train,0.9722659629273225,0.9475500345065563,0.9969818913480886,0.9953612287944366,0.9355189741016506
1,valid,0.788088393819619,0.8429752066115702,0.733201581027668,0.788088393819619,0.5801872177100059
1,test,0.7605496899614547,0.8082788671023965,0.7128205128205128,0.7605496899614548,0.5198425054928012
2,train,0.9513164875163471,0.914651002073255,0.9879819729594391,0.9887165752083551,0.8911197307823923
2,valid,0.8041018016200485,0.7765814266487214,0.8316221765913757,0.8041018016200486,0.5964130187125449
2,test,0.7195412971818562,0.6895027624309392,0.7495798319327731,0.7195412971818562,0.42980557230335437
3,train,0.9762609617699318,0.9551369863013699,0.9973849372384938,0.9944918897231616,0.9431810343152834
3,valid,0.7743094133512005,0.7842876165113183,0.7643312101910829,0.7743094133512006,0.5397800852453863
3,test,0.7263104240072845,0.7198622273249139,0.7327586206896551,0.7263104240072846,0.4501085944877076
4,train,0.9284262221830866,0.8770911573916013,0.9797612869745719,0.9825733857318234,0.8407263053157426
4,valid,0.7806928748831472,0.7018469656992085,0.859538784067086,0.7806928748831472,0.5469066543931992
4,test,0.7258479532163743,0.6339181286549708,0.8177777777777778,0.7258479532163742,0.4524412797226441
