valid_true,valid_probe
1,0.8426649
1,0.8478126
1,0.9032152
1,0.90067476
0,0.32104555
1,0.49084592
1,0.42208958
1,0.72766805
1,0.6636441
1,0.5219849
0,0.35016727
1,0.16640568
1,0.19362152
1,0.008225931
0,0.0061232224
0,0.0037084965
1,0.92394567
1,0.9333922
1,0.790369
0,0.10462639
0,0.48230064
0,0.51449335
0,0.32249895
1,0.51588863
0,0.9008255
0,0.9181371
0,0.889931
1,0.8638097
1,0.9300608
1,0.9370667
1,0.909193
1,0.95246243
1,0.9628135
0,0.51130664
1,0.858108
1,0.8950243
1,0.5192791
1,0.7194709
1,0.69243276
0,0.012362807
1,0.9283307
1,0.95721036
1,0.9605345
1,0.6021855
1,0.91295445
1,0.9303092
1,0.91166854
1,0.7332164
0,0.7431743
0,0.7461023
0,0.76760703
1,0.6447981
1,0.93602383
1,0.9355074
1,0.867307
1,0.525722
1,0.443356
1,0.9100522
1,0.8981632
1,0.9421423
1,0.97430676
1,0.87694716
1,0.86003065
1,0.86911666
1,0.9296076
1,0.94678843
1,0.9720881
1,0.95983636
1,0.94881034
1,0.9652031
0,0.055311736
0,0.07053043
0,0.07622437
0,0.045693364
1,0.9145591
1,0.83085734
1,0.8453399
1,0.61757565
1,0.7825089
1,0.77834797
1,0.66833746
1,0.41713315
1,0.51660144
1,0.47347236
0,0.3104303
1,0.8480778
0,0.2819296
0,0.25126344
0,0.23255426
1,0.59291106
1,0.53902596
0,0.25574347
0,0.8154129
1,0.3679932
1,0.3353731
1,0.9584608
1,0.95493984
1,0.96754974
1,0.98386556
0,0.5280356
0,0.76970434
0,0.7918674
0,0.30644718
1,0.8405693
1,0.8902612
1,0.9486203
1,0.87029463
1,0.92000407
1,0.9048926
0,0.046499874
0,0.5083881
0,0.536213
0,0.53210825
1,0.6476472
1,0.8120968
1,0.7963392
0,0.020231254
1,0.06269115
0,0.028203044
0,0.024309898
0,0.006749841
0,0.022472939
1,0.025310699
0,0.015846001
0,0.18759394
0,0.15742621
0,0.12624858
0,0.08446012
1,0.94462776
1,0.96881837
1,0.97892857
1,0.52786124
1,0.8582778
1,0.89166975
1,0.9148405
1,0.89087874
1,0.9157801
0,0.032326855
0,0.008645494
0,0.006848362
0,0.0036924565
1,0.7614753
0,0.027475342
0,0.025063355
0,0.0106131835
1,0.9517572
1,0.8134475
1,0.8154007
0,0.09144406
0,0.07883619
1,0.060577337
0,0.05183199
1,0.7713468
1,0.9451913
1,0.95674825
0,0.011426793
0,0.015128974
0,0.010770287
0,0.00550632
1,0.9531802
1,0.97767603
1,0.98402
0,0.028447075
0,0.021676663
0,0.02078592
1,0.895604
1,0.95812035
1,0.9588288
1,0.883357
0,0.037745245
0,0.017463222
0,0.016760137
0,0.0060653677
1,0.8568127
1,0.8489218
0,0.033733662
1,0.7246112
1,0.4116029
1,0.41864267
1,0.52087337
0,0.27404568
0,0.1525594
0,0.14717962
0,0.06357481
0,0.010938266
0,0.0179812
0,0.015361137
0,0.010111427
1,0.9673779
1,0.8711744
1,0.9170917
0,0.014291764
0,0.029101603
1,0.018316614
0,0.029599486
0,0.4569018
0,0.46795624
0,0.30738991
0,0.16935341
0,0.014305502
0,0.011657944
0,0.006322322
1,0.9322689
1,0.7903144
1,0.7971559
0,0.4341216
0,0.3930343
0,0.18171802
1,0.9220504
1,0.9006844
1,0.9064152
1,0.83245885
1,0.8892762
1,0.926798
0,0.010900888
1,0.9194407
1,0.9664287
1,0.9713831
1,0.92520416
1,0.9606622
1,0.963145
1,0.9175978
1,0.9296236
1,0.8798814
0,0.3734011
0,0.92017025
0,0.5660607
0,0.112421125
1,0.046959955
1,0.033907942
1,0.929064
1,0.6269114
1,0.5992343
1,0.9487867
1,0.91183317
1,0.93492544
1,0.9471461
0,0.11227818
1,0.88558984
1,0.9067747
0,0.05138848
0,0.053496353
0,0.053836502
0,0.047924165
0,0.046210784
0,0.014164554
0,0.0069309147
1,0.07505681
1,0.31893912
1,0.22629683
1,0.41845965
1,0.9514037
1,0.9390982
1,0.9466733
0,0.5403957
1,0.05345985
1,0.06870688
1,0.055574436
0,0.9507345
1,0.9335435
1,0.9473776
1,0.5247913
1,0.94376785
1,0.949396
0,0.20978244
0,0.19344598
0,0.25616997
0,0.20047341
0,0.28802302
0,0.2942387
0,0.14530118
0,0.37647235
1,0.84169024
0,0.8506463
1,0.9452575
0,0.037967257
0,0.019744363
0,0.015159598
0,0.016013602
0,0.0015251073
1,0.68844956
1,0.8945403
1,0.9094953
1,0.9510503
0,0.52690125
0,0.7494743
0,0.701565
0,0.4673768
0,0.7601885
0,0.77082664
0,0.776601
0,0.43165436
1,0.7890415
1,0.124882706
1,0.10278494
1,0.9483777
1,0.9207875
1,0.9472844
1,0.9579035
1,0.8955424
1,0.9013022
1,0.89674747
1,0.759208
1,0.90185416
1,0.93912727
1,0.9543785
0,0.17350654
1,0.824501
1,0.82432395
0,0.75467855
0,0.82598233
0,0.83707446
0,0.6443391
1,0.924168
1,0.8608501
1,0.86272705
0,0.41503066
0,0.047271334
0,0.035511483
0,0.010701448
0,0.6241929
0,0.21714337
0,0.13683368
1,0.90559703
1,0.8367154
1,0.8431282
1,0.91147906
1,0.90305424
1,0.9164929
1,0.8628055
1,0.90936947
1,0.9142902
1,0.9438852
1,0.90826607
1,0.90130126
1,0.91411054
1,0.6310713
0,0.5679537
0,0.5769109
1,0.15216236
1,0.039569322
1,0.023132412
1,0.017283436
1,0.89865565
1,0.16183831
0,0.093869895
0,0.05007176
1,0.9319732
1,0.9412431
0,0.94163966
0,0.8928346
0,0.09878443
0,0.14956477
0,0.041795004
0,0.0042902855
0,0.039812956
0,0.03144539
0,0.039552435
1,0.895342
1,0.9193516
1,0.94020027
1,0.9658164
1,0.971834
1,0.79125047
1,0.8874527
1,0.9212296
0,0.031678632
1,0.44920245
1,0.47677273
0,0.13484623
1,0.8231527
1,0.9128093
1,0.88976544
1,0.92950946
1,0.936445
1,0.34077463
1,0.5357892
1,0.58926576
0,0.20315678
1,0.63375163
1,0.6397325
0,0.023130061
0,0.031812932
0,0.0156365
1,0.7355403
1,0.048138145
0,0.032649882
0,0.029866109
1,0.90210885
1,0.8936961
1,0.91172206
1,0.47897527
1,0.79623336
1,0.8179588
1,0.93782234
1,0.85291946
1,0.8974219
1,0.9035024
1,0.59446925
0,0.2981054
0,0.20492944
0,0.1938431
0,0.0057814713
0,0.05681043
0,0.04552985
0,0.03017879
1,0.9203315
1,0.89888847
1,0.9347658
1,0.9411792
1,0.76168305
0,0.65760934
0,0.59156656
0,0.4881399
1,0.8991819
1,0.6752329
0,0.7524749
0,0.814535
1,0.79308766
1,0.91341966
1,0.925681
0,0.36596337
1,0.83927035
1,0.88522714
1,0.9253212
1,0.70998806
1,0.7290138
1,0.7140889
0,0.50623435
1,0.3389586
1,0.30417946
0,0.38868943
1,0.84714085
1,0.8904873
1,0.8831948
0,0.5150243
0,0.35452724
0,0.4512307
1,0.7570113
1,0.76792526
1,0.77655506
1,0.83734906
1,0.8802517
1,0.47830167
1,0.018027138
0,0.013770837
0,0.009354613
1,0.9270349
1,0.33083984
0,0.25586808
0,0.10101501
0,0.20399442
1,0.9130063
1,0.94062304
0,0.26772356
1,0.8115839
1,0.9065937
1,0.9248953
1,0.34528676
0,0.046732243
0,0.030030088
0,0.014851895
0,0.12656228
0,0.024536168
0,0.016036646
0,0.0065204236
1,0.78123665
1,0.085095964
1,0.07451441
1,0.44469738
1,0.64896244
1,0.64054656
1,0.49410066
0,0.03008265
0,0.012112596
0,0.012668028
0,0.008207604
0,0.014240808
0,0.0066681793
0,0.005063175
1,0.94754606
0,0.64245206
0,0.37519673
0,0.8351261
1,0.8566882
1,0.86437297
1,0.057270862
1,0.0440818
1,0.039908484
0,0.054261323
1,0.91282403
1,0.9594102
0,0.7066084
1,0.95215106
1,0.92255276
1,0.9481254
1,0.9644536
1,0.88911426
1,0.8970522
1,0.8779983
0,0.04438838
0,0.008492138
0,0.0040420187
0,0.0030574736
1,0.97434753
1,0.95295054
1,0.96178555
0,0.9175831
1,0.93069357
1,0.93961537
1,0.9229698
1,0.9038882
1,0.9279038
1,0.92773604
1,0.046703182
1,0.038461097
1,0.04785386
1,0.023313597
1,0.9302027
1,0.91748905
1,0.94692844
1,0.9518213
1,0.9309872
1,0.95077115
1,0.8522966
1,0.4055182
0,0.10734245
0,0.07517387
0,0.031818897
1,0.7177402
1,0.667758
1,0.63626856
0,0.27549922
0,0.15181161
0,0.12657799
0,0.08472881
1,0.61406374
1,0.47919026
1,0.48634756
1,0.8183397
1,0.8626744
1,0.9141813
1,0.9557533
0,0.039306503
0,0.18815051
1,0.30584848
0,0.07654811
0,0.70313823
0,0.7353307
1,0.7556339
0,0.5077503
0,0.029682083
1,0.48687088
1,0.55063
0,0.91992265
0,0.8750186
0,0.9041551
0,0.8778937
1,0.96050966
1,0.9367535
1,0.9599149
1,0.9560983
1,0.9331448
1,0.1836495
1,0.20193857
0,0.04263693
0,0.34125727
0,0.33487105
1,0.37147903
0,0.2843825
0,0.542373
1,0.48054457
1,0.5313022
1,0.49475262
1,0.6004644
1,0.94397444
1,0.8481758
1,0.8625691
0,0.6016609
1,0.8299106
