train_true,train_probe
1,0.8256135
1,0.12993002
0,0.10553337
0,0.04588367
0,0.110772125
0,0.029598514
0,0.018261734
0,0.02459591
1,0.8541331
1,0.94610846
1,0.9599526
1,0.9796632
1,0.9504615
1,0.94716036
1,0.96897596
1,0.859355
1,0.038901795
1,0.017745323
1,0.23968339
1,0.62887454
1,0.6665116
1,0.0049585616
0,0.0018117627
0,0.003331901
1,0.8865812
1,0.90012944
0,0.030107014
0,0.021259286
0,0.02108577
0,0.04523087
0,0.109116346
1,0.9856652
1,0.99015945
1,0.99133754
0,0.01179879
1,0.75681263
1,0.6864194
1,0.85516536
1,0.8368814
1,0.89638716
1,0.050089
1,0.8282856
1,0.8007082
0,0.038018156
0,0.018025748
1,0.020193543
0,0.011446454
1,0.014848004
1,0.025461137
1,0.023891749
1,0.15140441
0,0.0076859235
0,0.0070645614
0,0.007031261
1,0.77790266
1,0.90230125
1,0.92637223
1,0.93218297
0,0.029237274
1,0.89640987
1,0.9147089
1,0.87362194
1,0.04077447
0,0.016506767
0,0.011248251
1,0.9078967
1,0.94324386
1,0.96672606
1,0.9901168
1,0.9844934
0,0.008006505
1,0.96507007
1,0.9665309
0,0.02195605
1,0.12846157
1,0.10275236
1,0.8747541
1,0.9313493
0,0.88082767
0,0.675404
0,0.06155336
1,0.9187581
1,0.929603
0,0.0043938546
1,0.67238164
1,0.66258633
0,0.011427773
1,0.25738418
1,0.244112
1,0.91357833
1,0.9485484
1,0.9378276
0,0.0096879825
0,0.01793456
1,0.016083343
0,0.011401988
1,0.9590535
1,0.97379047
1,0.98181444
0,0.50850546
1,0.9151794
1,0.93441856
0,0.02857659
0,0.021638308
0,0.018470835
1,0.83887935
1,0.93054485
1,0.9573535
0,0.011568046
1,0.9916181
1,0.9947956
1,0.9929295
1,0.74395335
0,0.0308472
0,0.014735819
0,0.015858699
1,0.9269858
1,0.90079594
1,0.9381098
0,0.020453684
0,0.023382146
0,0.018174961
0,0.0110083
0,0.005406041
0,0.008460634
0,0.012145088
1,0.06386695
1,0.03600776
0,0.040535778
0,0.03704273
0,0.00052667357
0,0.0012024741
0,0.0014222852
0,0.00258281
0,0.0014213237
1,0.9358555
1,0.90638924
0,0.05437336
1,0.8530848
1,0.8744598
1,0.62366205
1,0.58286846
1,0.5556045
1,0.11370467
0,0.0049710325
0,0.0039285123
0,0.0053418926
0,0.007971186
0,0.0035184277
0,0.006835531
0,0.0050821365
0,0.03352656
1,0.89203674
1,0.74555707
1,0.81642884
0,0.05296847
1,0.89239657
1,0.9082874
0,0.03430543
0,0.02086729
1,0.95470953
1,0.9426144
0,0.032810297
0,0.04932175
0,0.54931337
0,0.034116805
1,0.9927031
1,0.9953259
1,0.9940795
1,0.93308085
1,0.9557193
1,0.9778888
1,0.993511
1,0.90177995
1,0.8809274
1,0.9339868
1,0.8342753
0,0.0063134492
0,0.009303919
1,0.9304818
1,0.7190639
1,0.81728053
1,0.9447635
1,0.9123179
1,0.9545998
0,0.004526734
0,0.005539017
0,0.0041673956
0,0.0044832635
0,0.024749389
0,0.011199016
0,0.0101206135
0,0.010662391
0,0.4456601
1,0.19276257
1,0.23970652
0,0.15285741
0,0.0105005745
0,0.0096194325
0,0.009712934
0,0.013462378
1,0.8787733
0,0.049976885
0,0.02342398
0,0.014383492
1,0.88946587
1,0.035739515
0,0.01518261
0,0.0132936565
0,0.014866045
0,0.011684742
0,0.016887944
0,0.012674112
0,0.10826722
0,0.03768711
0,0.027837118
1,0.92956126
1,0.91286993
1,0.9468372
1,0.8646101
1,0.93467414
1,0.95259506
1,0.98010397
0,0.0065315347
0,0.0064092577
0,0.0049465233
0,0.045671973
0,0.021577056
1,0.9113886
1,0.91775036
1,0.9531826
1,0.9137333
1,0.119139805
1,0.06493488
0,0.43904242
0,0.8188863
0,0.13819048
0,0.031010495
1,0.97390884
1,0.9746344
1,0.98120683
0,0.082859434
0,0.05180774
0,0.06099619
0,0.03903042
0,0.022189163
0,0.0012722318
0,0.0054404153
0,0.0045928997
0,0.13579337
1,0.9121809
1,0.9714919
1,0.9808615
1,0.99158186
0,0.005144497
0,0.0100119915
0,0.009599337
0,0.0044720066
0,0.0042926692
0,0.0044370205
0,0.0030001737
1,0.6953316
0,0.019414337
0,0.00939342
0,0.01206371
0,0.8309285
1,0.75563335
1,0.9350118
1,0.9562082
0,0.025328692
0,0.05086853
0,0.052374728
0,0.04947736
1,0.8166648
1,0.17871438
1,0.15469508
1,0.9240698
1,0.9340131
1,0.96130013
0,0.06005963
0,0.024915427
0,0.027385296
0,0.027598254
1,0.8876813
1,0.9431558
1,0.96421444
1,0.9884707
0,0.047021907
0,0.0698127
0,0.06958891
0,0.032007705
1,0.7992298
1,0.9530982
1,0.95987195
1,0.8142742
1,0.89625216
1,0.9290393
0,0.0038322976
0,0.033376154
0,0.0105041675
1,0.69947994
1,0.74081254
1,0.689335
1,0.112496845
0,0.056592807
0,0.056050804
0,0.036219466
0,0.048874345
0,0.16498893
1,0.8839969
1,0.89917946
0,0.5415507
0,0.027885458
0,0.020006051
0,0.01595981
1,0.9053919
1,0.9134384
1,0.9726608
1,0.97492695
1,0.98832583
0,0.0024764861
0,0.03392628
0,0.035577472
1,0.97920346
1,0.87459
0,0.017156018
0,0.006278069
0,0.008943981
1,0.8715022
1,0.92108697
1,0.93969285
0,0.010672022
0,0.0100057125
0,0.013102519
1,0.02222093
0,0.009994279
0,0.009796792
0,0.0076110214
0,0.0075736344
1,0.94596547
1,0.9693988
1,0.9847906
1,0.507846
1,0.7241437
1,0.74983555
0,0.07925296
1,0.9520455
1,0.9599965
1,0.76475227
1,0.01434042
0,0.006578512
0,0.00861622
1,0.8777521
1,0.105466396
1,0.053474206
1,0.92820096
1,0.9313441
1,0.9501542
0,0.22702956
1,0.95577055
1,0.9286357
1,0.95762485
0,0.015623748
1,0.26828846
1,0.33770725
1,0.98643154
1,0.97132134
1,0.9656591
1,0.9917787
1,0.7947132
1,0.94907576
1,0.9643368
1,0.98765916
1,0.90787226
0,0.033939753
0,0.012871531
0,0.012313654
1,0.94668853
1,0.9364379
1,0.97139233
1,0.8028776
1,0.9221484
1,0.9518333
1,0.9880739
1,0.9258152
1,0.9318816
1,0.9598472
1,0.98598844
1,0.7251163
1,0.062588565
1,0.04718723
1,0.9512864
1,0.9514244
1,0.9728107
1,0.9054346
1,0.7030226
1,0.8005632
0,0.0144250365
0,0.020621773
0,0.019553317
0,0.031569734
1,0.914406
1,0.93988466
0,0.0034330462
0,0.0113962
0,0.007763276
0,0.09610623
0,0.0042880555
0,0.002580735
0,0.005241116
1,0.68722296
1,0.99036247
1,0.9937669
1,0.9970446
1,0.79003054
1,0.90512705
1,0.91886723
1,0.97513664
1,0.63632953
1,0.60620403
1,0.5961857
1,0.9721168
1,0.95454735
1,0.98060256
1,0.3368175
1,0.81644154
1,0.84123856
0,0.05778625
0,0.025991239
0,0.015966762
1,0.9190657
0,0.04141968
0,0.019633878
0,0.022251774
1,0.9498852
1,0.9322908
1,0.96757656
1,0.9738207
1,0.739266
1,0.9144717
1,0.9353796
0,0.18106426
0,0.01619285
0,0.006889703
0,0.008238478
1,0.9610274
1,0.97586346
1,0.98547286
1,0.872601
1,0.043157898
1,0.016944872
1,0.95342976
1,0.9713019
1,0.99013925
1,0.7274551
1,0.883784
1,0.910435
0,0.013336237
0,0.05278445
0,0.04608476
0,0.05837646
1,0.004131264
1,0.034782235
1,0.03782983
1,0.9529495
1,0.8831699
0,0.008571953
0,0.0080870185
1,0.9512525
1,0.8448977
1,0.9100896
1,0.9133595
1,0.9218665
1,0.9534345
1,0.6444884
1,0.9439751
1,0.9597877
0,0.8603445
0,0.023752725
0,0.008040772
0,0.0066226036
0,0.0043938546
1,0.67238164
1,0.66258633
1,0.9494412
1,0.84342086
1,0.8980363
0,0.013103752
0,0.0033253976
0,0.0018476555
0,0.004063969
0,0.038733646
1,0.9291671
1,0.94813484
1,0.91435605
1,0.9196803
1,0.9510617
1,0.9837546
1,0.7581176
1,0.9485058
1,0.95286596
1,0.8640067
1,0.32980397
1,0.31398115
1,0.8662025
1,0.82687265
1,0.8766204
1,0.84954095
1,0.87813014
1,0.92788917
1,0.9338524
1,0.95358425
1,0.96094835
0,0.10091193
1,0.93490845
1,0.9433684
0,0.018435273
1,0.9964798
1,0.9965167
1,0.9985739
1,0.9505146
1,0.9533277
0,0.005721345
0,0.0126280645
0,0.010764086
0,0.0070996713
0,0.0025241468
1,0.009441729
1,0.013175247
0,0.12293753
0,0.0073754615
0,0.0049931626
0,0.008121078
1,0.9394094
1,0.9613567
1,0.9844446
1,0.9026805
1,0.9321038
1,0.83858186
1,0.9478118
1,0.97407466
1,0.9807153
0,0.013774057
0,0.017330674
0,0.014927875
0,0.015754078
0,0.0053610196
0,0.0039247433
0,0.0045574135
0,0.008891381
1,0.69367266
1,0.9403679
1,0.9582459
1,0.9847814
1,0.8341209
1,0.8875456
1,0.9126292
1,0.25468698
1,0.898519
1,0.8888399
1,0.90061665
1,0.8640947
1,0.92257833
1,0.10946117
1,0.19374506
1,0.19724558
1,0.93417424
1,0.9524011
1,0.9631839
0,0.034281064
0,0.0020711697
0,0.0018738697
0,0.00061605056
0,0.008371994
0,0.030787913
1,0.041156895
1,0.04049837
0,0.007878372
1,0.0033420743
0,0.004324302
1,0.86997366
1,0.49170935
1,0.5121173
0,0.016449394
1,0.9932807
1,0.9935021
1,0.9956321
0,0.0021368861
0,0.0024349217
0,0.003413037
0,0.004463451
1,0.84293276
0,0.015575712
0,0.005962329
0,0.0065620914
0,0.003880117
0,0.006707335
0,0.0056690723
0,0.0048990133
0,0.049942862
0,0.032447368
1,0.8019675
1,0.8181924
0,0.019725585
0,0.038404863
1,0.9273284
1,0.892602
1,0.92187685
0,0.008655123
0,0.0054801814
0,0.004841475
0,0.008663159
0,0.051058777
0,0.06931282
0,0.027109154
0,0.038178433
0,0.036648903
0,0.036667943
0,0.027014377
1,0.8380081
1,0.04261429
0,0.021573668
0,0.01972902
0,0.21368814
0,0.051917464
0,0.046493094
0,0.040729657
1,0.9128098
1,0.92012084
1,0.95796376
1,0.96963644
1,0.07014821
1,0.25702134
1,0.31972104
1,0.9729328
1,0.97067386
1,0.8540075
1,0.91034627
1,0.95002395
0,0.004131264
1,0.034782235
1,0.03782983
1,0.9529495
0,0.00539729
0,0.008019926
1,0.010589232
0,0.00939464
1,0.005905059
0,0.0018634372
0,0.0026370976
1,0.8007519
1,0.8132576
1,0.8924981
1,0.8854627
1,0.8899674
1,0.9425472
1,0.97945064
1,0.9103525
1,0.9435468
0,0.87411416
1,0.9496583
1,0.96470195
1,0.9723831
0,0.34574017
1,0.8941384
1,0.9097316
0,0.14444686
0,0.03331353
0,0.03250164
0,0.02365413
1,0.8384276
1,0.9117563
1,0.9456787
1,0.92838794
0,0.14474998
1,0.98191214
1,0.9848488
1,0.9912463
1,0.9338749
1,0.90404516
1,0.9532783
1,0.8459962
1,0.82629925
1,0.8887317
0,0.022550033
0,0.36380592
0,0.09419464
0,0.048466668
1,0.95982075
1,0.9655874
1,0.96493465
0,0.007669147
0,0.0049777566
0,0.005984138
1,0.01665348
0,0.0077904454
0,0.0077476846
0,0.004201651
0,0.0048319614
0,0.006004387
0,0.006481919
1,0.14208502
0,0.007212208
0,0.005479706
0,0.008368435
1,0.13936608
1,0.7971372
1,0.79795134
0,0.009676251
0,0.014553425
0,0.017575886
0,0.011545376
0,0.5081715
0,0.079751424
0,0.037189156
0,0.057924643
1,0.82905465
1,0.8904172
1,0.928558
1,0.5878809
1,0.9220383
1,0.933476
1,0.9394687
1,0.9263658
1,0.96238106
1,0.9463866
0,0.025080016
1,0.7991434
1,0.8057475
1,0.18694979
1,0.80223846
1,0.84332263
0,0.05565988
0,0.02651404
0,0.5268779
1,0.9504818
1,0.9679797
0,0.010245028
0,0.009481758
0,0.010415212
0,0.015285211
1,0.015077237
1,0.7421084
1,0.7585691
0,0.07662658
1,0.9605193
1,0.97189385
0,0.007498012
0,0.0071350667
0,0.0053202235
0,0.0066665406
0,0.003925047
0,0.01722568
0,0.018112263
0,0.75214213
1,0.9511626
1,0.9552679
1,0.9700557
0,0.13613525
1,0.8200024
1,0.837271
0,0.10379406
0,0.031149222
0,0.03510471
0,0.028354207
1,0.016793873
1,0.011556799
1,0.01278255
1,0.43678328
1,0.8671104
1,0.8536929
1,0.9333116
1,0.9537033
1,0.96812606
1,0.6206483
1,0.8664428
1,0.8815458
1,0.9126643
1,0.9483576
1,0.94155425
1,0.96387833
0,0.20952027
0,0.04290236
0,0.04189488
0,0.026683759
0,0.019312503
0,0.019900179
0,0.017300785
1,0.77073395
1,0.74033785
1,0.79476863
0,0.057779934
1,0.9586574
1,0.9639193
0,0.0006781804
1,0.9837384
1,0.9791656
0,0.005398235
0,0.014268601
0,0.016178627
0,0.021359904
1,0.9129594
1,0.92131317
1,0.9061667
1,0.93399763
1,0.96157235
1,0.9890541
1,0.8882398
1,0.8536761
1,0.9092734
0,0.024180423
0,0.023933994
0,0.017012592
0,0.0068820696
0,0.006374138
0,0.00781891
1,0.1629673
1,0.6269023
1,0.67125374
0,0.0834852
1,0.8911539
1,0.897933
0,0.033054154
1,0.96118486
1,0.95861405
1,0.80180424
1,0.9283255
1,0.9517572
0,0.02114091
1,0.9159328
1,0.8978945
0,0.0017717066
0,0.015863039
0,0.0045225243
1,0.80758864
1,0.8586371
1,0.88320524
0,0.45054945
1,0.95375943
1,0.9648999
0,0.011298696
0,0.0062904563
0,0.0065458445
0,0.00900599
0,0.00825154
1,0.105618335
1,0.12734663
1,0.4992747
1,0.9038337
1,0.9078748
0,0.01339905
0,0.01783394
0,0.014613418
0,0.2794859
1,0.8189175
1,0.91925555
1,0.9468558
1,0.95505923
0,0.03390837
1,0.96948963
1,0.97568935
0,0.0056655626
0,0.01157919
0,0.01483567
0,0.014873658
0,0.004084823
1,0.006769257
1,0.004894866
0,0.095675714
1,0.036664303
1,0.045814835
0,0.004398751
0,0.004998313
0,0.004147378
0,0.024789426
1,0.9510944
1,0.9665504
1,0.9872406
0,0.09192509
1,0.9752104
1,0.9585929
1,0.99598145
0,0.14137939
1,0.9275464
1,0.93159825
1,0.8672139
1,0.8924752
1,0.93359095
1,0.92263365
1,0.90572613
1,0.9460747
1,0.97520304
1,0.97964615
1,0.99327445
0,0.030381996
0,0.25516397
1,0.9317379
1,0.9377744
1,0.86907274
1,0.027658861
0,0.010664337
0,0.009578913
0,0.68857354
1,0.8283345
1,0.89078265
1,0.9311656
1,0.021210095
1,0.012094476
1,0.012648027
0,0.033564184
1,0.8744457
1,0.8641758
1,0.7709678
1,0.02650107
0,0.014229426
0,0.016878912
0,0.0031088635
